ScatID,LabID,TubeDate,Visual_Inspection,ExtractDate,qbit volume (ul),Qbit Reading,Notes,lon,lat
D.06.14.23.P1,DAP1,,,,,,,,
D.06.14.23.C1,DAC1,,,,,,,,
D.06.14.23.B1,DAB1,,,,,,,,
D.06.14.23.F1,DAF1,,,,,,,,
D.06.14.23.F2,DAF2,,,,,,,,
D.06.14.23.C2,DAC2,,,,,,,,
D.06.14.23.C3,DAC3,,,,,,,,
D.06.14.23.D1,DAD1,,,,,,,,
C.06.16.23.F1,CBF1,,,,,,,,
C.06.16.23.C1,CBC1,,,,,,,,
D.06.16.23.C2,DBC2,,,,,,,,
D.06.19.23.C1,DCC1,,,,,,,,
D.06.19.23.F1,DCF1,,,,,,,,
D.06.19.23.C2,DCC2,,,,,,,,
D.06.19.23.C3,DCC3,,,,,,,,
D.06.19.23.C4,DCC4,,,,,,,,
D.06.19.23.C5,DCC5,,,,,,,,
D.06.19.23.C7,DCC7,,,,,,,,
D.06.19.23.C8,DCC8,,,,,,,,
D.06.25.23.B1,DDB1,,,,,,,,
D.06.25.23.C2,DDC2,,,,,,,,
D.06.25.23.B2,DDB2,,,,,,,,
D.06.25.23.C3,DDC3,,,,,,,,
D.06.25.23.C4,DDC4,,,,,,,,
D.06.25.23.unk1,DDK1,,,,,,,,
D.06.25.23.C6,DDC6,,,,,,,,
D.06.25.23.C7,DDC7,,,,,,,,
D.06.25.23.C8,DDC8,,,,,,,,
D.06.25.23.C9,DDC9,,,,,,,,
D.06.25.23.B3,DDB3,,,,,,,,
D.06.26.23.C1,DEC1,,,,,,,,
D.06.26.23.C2,DEC2,,,,,,,,
D.06.26.23.C3,DEC3,,,,,,,,
D.06.26.23.C4,DEC4,,,,,,,,
D.06.26.23.C5,DEC5,,,,,,,,
D.06.26.23.B1,DEB1,,,,,,,,
D.06.26.23.P1,DEP1,,,,,,,,
D.06.26.23.C6,DEC6,,,,,,,,
D.06.26.23.C7,DEC7,,,,,,,,
D.06.26.23.C8,DEC8,,,,,,,,
D.06.26.23.B2,DEB2,,,,,,,,
D.06.26.23.B3,DEB3,,,,,,,,
D.06.26.23.C9,DEC9,,,,,,,,
D.06.26.23.F1,DEF1,,,,,,,,
D.06.26.23.C10,DEC10,,,,,,,,
D.06.26.23.C11,DEC11,,,,,,,,
D.06.26.23.C12,DEC12,,,,,,,,
D.06.26.23.C13,DEC13,,,,,,,,
D.06.26.23.P3,DEP3,,,,,,,,
D.06.27.23.B1,DFB1,,,,,,,,
D.06.27.23.U1,DFU1,,,,,,,,
D.06.27.23.B2,DFB2,,,,,,,,
D.06.27.23.UNK1,DFK1,,,,,,,,
D.06.27.23.B3,DFB3,,,,,,,,
D.06.27.23.B4,DFB4,,,,,,,,
D.06.28.23.C1,DGC1,,,,,,,,
D.06.28.23.B2,DGB2,,,,,,,,
D.06.28.23.C2,DGC2,,,,,,,,
D.06.28.23.B3,DGB3,,,,,,,,
