LabID,pig_survey_id,lon,lat,notes
DAIH1,22-11-30 163929B,-120.4494916,34.49937134,
DAIH2,22-11-30 163929A,-120.4494916,34.49937134,
DAIH3,22-11-30 168206A,-120.4497071,34.49724494,"assuming this is 165206, and the datasheet missed recording A."
DAIH4,22-11-30 168206B,-120.4497071,34.49724494,
DAGH1,22-10-24 084824A,-120.4462502,34.46668908,assuming this is actually 10-26 date because of the code
DAHH1,22-10-26 084824B,-120.4462502,34.46668908,
DAIH5,22-11-30 162916A,-120.4493466,34.49912419,
DAIH6,22-11-30 162916B,-120.44935,34.4991242,
DAHH2,22-10-26 083850A,-120.4461911,34.46663783,
DAHH3,22-10-26 083850B,-120.4461911,34.46663783,
DAJH1,22-10-25 172153B,-120.4239869,34.4642289,
DAKH1,22-07-13 185201A,-120.4561956,34.47242784,
DAHH4,22-10-26 082154A,-120.4461914,34.466683,
DAHH5,22-10-26 082154B,-120.4461914,34.466683,
DAHH6,22-10-26 083103B,-120.4462271,34.46667773,
DALH1,22-09-09 115157B,-120.4168428,34.45527442,
DAMH1,22-07-14 064648,,,don't see number in pig survey sheet
DALH2,22-09-09 130317A,-120.4530609,34.44672553,
DAKH2,22-07-13 190405B,-120.4562102,34.47239728,
DALH3,22-09-09 130317B,-120.4530609,34.44672553,
DAKH3,22-07-13 190405A,-120.4562102,34.47239728,
DAHH7,22-10-26 083103A,-120.4462271,34.46667773,
DALH4,22-09-09 114211B,,,don't see number in pig survey sheet
DALH5,22-09-09 114211A,,,don't see number in pig survey sheet
DANH1,22-07-10 063737A,,,don't see number in pig survey sheet
DAJH2,22-10-25 172153A,-120.4239869,34.4642289,
DAMH2,22-07-14 06737B,,,don't see number in pig survey sheet
DALH8,22-09-09 115157A,-120.4168428,34.45527442,
DALH6,22-09-09 114707A,-120.4168144,34.45526935,
DALH7,22-09-09 114707B,-120.41681,34.4552694,
DAOH1,22-04-13 193826A,-120.4561965,34.47239907,
DAOH2,22-04-13 195225B,-120.4562007,34.47238282,
DAPH1,22-04-14 184844A,-120.49026,34.5045108,assuming this is 084844
DUKH1,5B,-120.442242,34.500704,
DUKH2,8B,-120.446802,34.457301,
DUKH3,8A,-120.446802,34.457301,
DUKH4,7B,-120.45586,34.47217,
DUKH5,2B,-120.46,34.51,
DAKH4,22-07-13 185201B,-120.4561956,34.47242784,
DAQH1,22-03-15 1B,-120.46,34.5,
DUKH6,6B,NA,NA,no location info
DAPH2,22-04-14 085014B,-120.4902439,34.5045226,
DUKH7,6A,NA,NA,no location info
DAQH2,22-03-15 1A,-120.46,34.5,
DUKH8,7A,-120.45586,34.47217,
DUKH9,2A,-120.46,34.51,
DUKH10,3A,-120.442857,34.501017,
DUKH11,3B,-120.442857,34.501017,
DUKH12,4A,-120.442755,34.501038,
DUKH13,4B,-120.442755,34.501038,
DUKH14,5A,-120.442242,34.500704,
DAMH3,22-07-14 064648B,,,
