count,total,prop,Label,common name,species,Genus,Family,order
10,48,0.208333333,Bobcat Wild,bottas pocket gopher,bottae,Thomomys,Geomyidae,Rodentia
5,48,0.104166667,Bobcat Wild,brush rabbit,bachmani,Sylvilagus,Leporidae,lagomorpha
2,48,0.041666667,Bobcat Wild,california quail,californica,Callipepla,Odontophoridae,Galliformes
8,48,0.166666667,Bobcat Wild,california vole,californicus,Microtus,Cricetidae,Rodentia
6,48,0.125,Bobcat Wild,deer mouse,maniculatus,Peromyscus,Cricetidae,Rodentia
4,48,0.083333333,Bobcat Wild,heermans kangaroo rat,heermanni,Dipodomys,Heteromyidae,Rodentia
5,48,0.104166667,Bobcat Wild,mule deer,hemionus,Odocoileus,Cervidae,Artiodactyla
1,48,0.020833333,Bobcat Wild,western rattlesnake,oreganus,Crotalus,Viperidae,Squamata
1,48,0.020833333,Bobcat Wild,western scrub jay,californica,Aphelocoma,Corvidae,Passeriformes
1,48,0.020833333,Bobcat Wild,wild boar,scrofa,Sus,Suidae,Artiodactyla
5,48,0.104166667,Bobcat Wild,woodrat,NA,Neotoma,Cricetidae,Rodentia
1,55,0.018181818,Coyote Urban,black rat,rattus,Rattus,Muridae,Rodentia
11,55,0.2,Coyote Urban,brush rabbit,bachmani,Sylvilagus,Leporidae,lagomorpha
6,55,0.109090909,Coyote Urban,california ground squirrel,beecheyi,Spermophillus,Sciuridae,Rodentia
7,55,0.127272727,Coyote Urban,california vole,californicus,Microtus,Cricetidae,Rodentia
6,55,0.109090909,Coyote Urban,chicken,gallus,Gallus,Phasianidae,Galliformes
2,55,0.036363636,Coyote Urban,crow,brachyrhynchos,Corvus,Corvidae,Passeriformes
8,55,0.145454545,Coyote Urban,deer mouse,maniculatus,Peromyscus,Cricetidae,Rodentia
5,55,0.090909091,Coyote Urban,cattle,taurus,Bos,Bovidae,Artiodactyla
1,55,0.018181818,Coyote Urban,house mouse,musculus,Mus,Muridae,Rodentia
