sample_id,coyote,deer_mouse,frog,bottas_pocket_gopher,brandts_cormorant,pelagic_cormorant,california_vole,brush_rabbit,american_robin,woodrat,domestic_cattle,wild_boar,california_sea_lion,western_harvest_mouse,cricket,dung_beetle,chicken,grey_fox,california_ground_squirrel,common_raven,song_sparrow,wild_turkey,skiltons_skink,bobcat,mule_deer,white_crowned_sparrow,spotted_towhee,earwig,heermans_kangaroo_rat,california_alligator_lizard,gopher_snake,carpet_beetle,rove_beetle,california_quail,american_shad,sharpnose_anchovy,acorn_woodpecker,downy_woodpecker,clam,striped_skunk,american_badger,harvestor_ant,western_scrub_jay,harbor_seal,puma,guadelupe_fur_seal,red_fox,stonefly,western_rattlesnake,house_mouse,black_rat,total_species,marine_species_count,prop_marine,host,site,lat,lon,dist_to_coast_m
C.06.29.23.C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,COP/NCOS,34.41315516,-119.881257,255.8255023505017
C.07.06.23.B1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,coyote,COP/NCOS,34.41296065,-119.880629,288.1099988675151
C.06.16.23.C2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,coyote,COP/NCOS,34.41179,-119.87878,342.4090667017587
C.07.12.23.C5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,coyote,COP/NCOS,34.41300588,-119.8795097,372.3660175965362
C.07.15.23.C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,coyote,COP/NCOS,34.41289199,-119.8793886,373.38541147170906
C.08.07.23.C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,coyote,COP/NCOS,34.41301356,-119.879455,376.85643202428855
N.07.12.23.C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,coyote,COP/NCOS,34.41803045,-119.883643,415.1231458060921
C.08.07.23.C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,coyote,COP/NCOS,34.41562313,-119.8809821,443.98702472168327
C.07.12.23.C2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,coyote,COP/NCOS,34.41540984,-119.880771,444.7570592003551
C.07.12.23.C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,coyote,COP/NCOS,34.41584145,-119.8811344,447.8240225995841
C.06.29.23.C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,coyote,COP/NCOS,34.41519772,-119.8804213,455.65808293939324
C.08.14.23.C1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,coyote,COP/NCOS,34.41458561,-119.879453,484.15573429030496
C.07.12.23.C4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,coyote,COP/NCOS,34.41421902,-119.8790942,485.1885490983611
