LabID,ScatID,curated_species,common_name,broadtax,broadtax1,genus,family,order,species,host,site,guessed_sp,target,lon,lat,SampleSet
DEC1,D.06.26.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4561075,34.51859065,GL
DEC1,D.06.26.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4561075,34.51859065,GL
DEC1,D.06.26.23.C1,Peromyscus maniculatus,deer mouse,Small rodent,Small rodent,Peromyscus,Cricetidae,Rodentia,maniculatus,no,Dangermond,coyote,No,-120.4561075,34.51859065,GL
DEC1,D.06.26.23.C1,Anura,frog,Frog,reptile/amphibian,NA,NA,Anura,NA,no,Dangermond,coyote,No,-120.4561075,34.51859065,GL
DEC1,D.06.26.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4561075,34.51859065,GL
DEC1,D.06.26.23.C1,Thomomys bottae,botta's pocket gopher,Small rodent,Small rodent,Thomomys,Geomyidae,Rodentia,bottae,no,Dangermond,coyote,No,-120.4561075,34.51859065,GL
DEC1,D.06.26.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4561075,34.51859065,GL
DEC2,D.06.26.23.C2,Urile penicillatus,brandt's cormorant,Brandt's cormorant,Brandt's cormorant,Urile,Phalacrocoracidae,Suliformes,penicillatus,no,Dangermond,coyote,No,-120.4716455,34.45939745,GL
DEC2,D.06.26.23.C2,Urile pelagicus,pelagic cormorant,Pelagic cormorant,Pelagic cormorant,Urile,Phalacrocoracidae,Suliformes,pelagicus,no,Dangermond,coyote,No,-120.4716455,34.45939745,GL
DEC3,D.06.26.23.C3,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4717817,34.45965195,GL
DEC3,D.06.26.23.C3,Microtus californicus,california vole,Small rodent,Small rodent,Microtus,Cricetidae,Rodentia,californicus,no,Dangermond,coyote,No,-120.4717817,34.45965195,GL
DEC3,D.06.26.23.C3,Peromyscus maniculatus,deer mouse,Small rodent,Small rodent,Peromyscus,Cricetidae,Rodentia,maniculatus,no,Dangermond,coyote,No,-120.4717817,34.45965195,GL
DEC3,D.06.26.23.C3,Sylvilagus bachmani,brush rabbit,Brush rabbit,Brush rabbit,Sylvilagus,Leporidae,Lagomorpha,bachmani,no,Dangermond,coyote,No,-120.4717817,34.45965195,GL
DEC3,D.06.26.23.C3,Thomomys bottae,botta's pocket gopher,Small rodent,Small rodent,Thomomys,Geomyidae,Rodentia,bottae,no,Dangermond,coyote,No,-120.4717817,34.45965195,GL
DEC3,D.06.26.23.C3,Microtus californicus,california vole,Small rodent,Small rodent,Microtus,Cricetidae,Rodentia,californicus,no,Dangermond,coyote,No,-120.4717817,34.45965195,GL
DEC3,D.06.26.23.C3,Thomomys bottae,botta's pocket gopher,Small rodent,Small rodent,Thomomys,Geomyidae,Rodentia,bottae,no,Dangermond,coyote,No,-120.4717817,34.45965195,GL
DEC3,D.06.26.23.C3,Sylvilagus bachmani,brush rabbit,Brush rabbit,Brush rabbit,Sylvilagus,Leporidae,Lagomorpha,bachmani,no,Dangermond,coyote,No,-120.4717817,34.45965195,GL
DEC3,D.06.26.23.C3,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4717817,34.45965195,GL
DEC3,D.06.26.23.C3,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4717817,34.45965195,GL
DEC4,D.06.26.23.C4,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4720342,34.45978095,GL
DEC4,D.06.26.23.C4,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4720342,34.45978095,GL
DEC4,D.06.26.23.C4,Urile penicillatus,brandt's cormorant,Brandt's cormorant,Brandt's cormorant,Urile,Phalacrocoracidae,Suliformes,penicillatus,no,Dangermond,coyote,No,-120.4720342,34.45978095,GL
DEC4,D.06.26.23.C4,Urile penicillatus,brandt's cormorant,Brandt's cormorant,Brandt's cormorant,Urile,Phalacrocoracidae,Suliformes,penicillatus,no,Dangermond,coyote,No,-120.4720342,34.45978095,GL
DEC4,D.06.26.23.C4,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4720342,34.45978095,GL
DEC4,D.06.26.23.C4,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4720342,34.45978095,GL
DEC5,D.06.26.23.C5,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4720537,34.45981754,GL
DEC5,D.06.26.23.C5,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4720537,34.45981754,GL
DEC5,D.06.26.23.C5,Turdus migratorius,american robin,Terrestrial bird,Terrestrial bird,Turdus,Turdidae,Passeriformes,migratorius,no,Dangermond,coyote,No,-120.4720537,34.45981754,GL
DEC5,D.06.26.23.C5,Urile penicillatus,brandt's cormorant,Brandt's cormorant,Brandt's cormorant,Urile,Phalacrocoracidae,Suliformes,penicillatus,no,Dangermond,coyote,No,-120.4720537,34.45981754,GL
DEC5,D.06.26.23.C5,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4720537,34.45981754,GL
DEC5,D.06.26.23.C5,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4720537,34.45981754,GL
DEC6,D.06.26.23.C6,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4732591,34.46327309,GL
DEC6,D.06.26.23.C6,Microtus californicus,california vole,Small rodent,Small rodent,Microtus,Cricetidae,Rodentia,californicus,no,Dangermond,coyote,No,-120.4732591,34.46327309,GL
DEC6,D.06.26.23.C6,Neotoma sp,woodrat,Small rodent,Small rodent,Neotoma,Cricetidae,Rodentia,NA,no,Dangermond,coyote,No,-120.4732591,34.46327309,GL
DEC6,D.06.26.23.C6,Neotoma sp,woodrat,Small rodent,Small rodent,Neotoma,Cricetidae,Rodentia,NA,no,Dangermond,coyote,No,-120.4732591,34.46327309,GL
DEC6,D.06.26.23.C6,Neotoma sp,woodrat,Small rodent,Small rodent,Neotoma,Cricetidae,Rodentia,NA,no,Dangermond,coyote,No,-120.4732591,34.46327309,GL
DEC6,D.06.26.23.C6,Peromyscus maniculatus,deer mouse,Small rodent,Small rodent,Peromyscus,Cricetidae,Rodentia,maniculatus,no,Dangermond,coyote,No,-120.4732591,34.46327309,GL
DEC6,D.06.26.23.C6,Urile penicillatus,brandt's cormorant,Brandt's cormorant,Brandt's cormorant,Urile,Phalacrocoracidae,Suliformes,penicillatus,no,Dangermond,coyote,No,-120.4732591,34.46327309,GL
DEC6,D.06.26.23.C6,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4732591,34.46327309,GL
DEC6,D.06.26.23.C6,Peromyscus maniculatus,deer mouse,Small rodent,Small rodent,Peromyscus,Cricetidae,Rodentia,maniculatus,no,Dangermond,coyote,No,-120.4732591,34.46327309,GL
DEC6,D.06.26.23.C6,Neotoma sp,woodrat,Small rodent,Small rodent,Neotoma,Cricetidae,Rodentia,NA,no,Dangermond,coyote,No,-120.4732591,34.46327309,GL
DEC6,D.06.26.23.C6,Urile pelagicus,pelagic cormorant,Pelagic cormorant,Pelagic cormorant,Urile,Phalacrocoracidae,Suliformes,pelagicus,no,Dangermond,coyote,No,-120.4732591,34.46327309,GL
DEC7,D.06.26.23.C7,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.473433,34.46545982,GL
DEC7,D.06.26.23.C7,Bos taurus,domestic cattle,Cattle,Cattle,Bos,Bovidae,Artiodactyla,taurus,no,Dangermond,coyote,No,-120.473433,34.46545982,GL
DEC7,D.06.26.23.C7,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.473433,34.46545982,GL
DEC7,D.06.26.23.C7,Microtus californicus,california vole,Small rodent,Small rodent,Microtus,Cricetidae,Rodentia,californicus,no,Dangermond,coyote,No,-120.473433,34.46545982,GL
DEC7,D.06.26.23.C7,Microtus californicus,california vole,Small rodent,Small rodent,Microtus,Cricetidae,Rodentia,californicus,no,Dangermond,coyote,No,-120.473433,34.46545982,GL
DEC7,D.06.26.23.C7,Peromyscus maniculatus,deer mouse,Small rodent,Small rodent,Peromyscus,Cricetidae,Rodentia,maniculatus,no,Dangermond,coyote,No,-120.473433,34.46545982,GL
DEC7,D.06.26.23.C7,Peromyscus maniculatus,deer mouse,Small rodent,Small rodent,Peromyscus,Cricetidae,Rodentia,maniculatus,no,Dangermond,coyote,No,-120.473433,34.46545982,GL
DEC7,D.06.26.23.C7,Sus scrofa,wild boar,Wild boar,Wild boar,Sus,Suidae,Artiodactyla,scrofa,Wild boar,Dangermond,coyote,target,-120.473433,34.46545982,GL
DEC7,D.06.26.23.C7,Zalophus californianus,california sea lion,California sea lion,California sea lion,Zalophus,Otariidae,Carnivora,californianus,no,Dangermond,coyote,No,-120.473433,34.46545982,GL
DEC7,D.06.26.23.C7,Thomomys bottae,botta's pocket gopher,Small rodent,Small rodent,Thomomys,Geomyidae,Rodentia,bottae,no,Dangermond,coyote,No,-120.473433,34.46545982,GL
DEC7,D.06.26.23.C7,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.473433,34.46545982,GL
DEC8,D.06.26.23.C8,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4735271,34.46557886,GL
DEC8,D.06.26.23.C8,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4735271,34.46557886,GL
DEC8,D.06.26.23.C8,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4735271,34.46557886,GL
DEC8,D.06.26.23.C8,Peromyscus maniculatus,deer mouse,Small rodent,Small rodent,Peromyscus,Cricetidae,Rodentia,maniculatus,no,Dangermond,coyote,No,-120.4735271,34.46557886,GL
DEC8,D.06.26.23.C8,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4735271,34.46557886,GL
DEC8,D.06.26.23.C8,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4735271,34.46557886,GL
DEC8,D.06.26.23.C8,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4735271,34.46557886,GL
DEC10,D.06.26.23.C10,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4733269,34.46779068,GL
DEC10,D.06.26.23.C10,Peromyscus maniculatus,deer mouse,Small rodent,Small rodent,Peromyscus,Cricetidae,Rodentia,maniculatus,no,Dangermond,coyote,No,-120.4733269,34.46779068,GL
DEC10,D.06.26.23.C10,Peromyscus maniculatus,deer mouse,Small rodent,Small rodent,Peromyscus,Cricetidae,Rodentia,maniculatus,no,Dangermond,coyote,No,-120.4733269,34.46779068,GL
DEC10,D.06.26.23.C10,Sylvilagus bachmani,brush rabbit,Brush rabbit,Brush rabbit,Sylvilagus,Leporidae,Lagomorpha,bachmani,no,Dangermond,coyote,No,-120.4733269,34.46779068,GL
DEC10,D.06.26.23.C10,Thomomys bottae,botta's pocket gopher,Small rodent,Small rodent,Thomomys,Geomyidae,Rodentia,bottae,no,Dangermond,coyote,No,-120.4733269,34.46779068,GL
DEC10,D.06.26.23.C10,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4733269,34.46779068,GL
DEC10,D.06.26.23.C10,Reithrodontomys megalotis,western harvest mouse,Small rodent,Small rodent,Reithrodontomys,Cricetidae,Rodentia,megalotis,no,Dangermond,coyote,No,-120.4733269,34.46779068,GL
DEC10,D.06.26.23.C10,Thomomys bottae,botta's pocket gopher,Small rodent,Small rodent,Thomomys,Geomyidae,Rodentia,bottae,no,Dangermond,coyote,No,-120.4733269,34.46779068,GL
DEC10,D.06.26.23.C10,Sylvilagus bachmani,brush rabbit,Brush rabbit,Brush rabbit,Sylvilagus,Leporidae,Lagomorpha,bachmani,no,Dangermond,coyote,No,-120.4733269,34.46779068,GL
