sample_id,coyote,deer_mouse,frog,bottas_pocket_gopher,brandts_cormorant,pelagic_cormorant,california_vole,brush_rabbit,american_robin,woodrat,domestic_cattle,wild_boar,california_sea_lion,western_harvest_mouse,cricket,dung_beetle,chicken,grey_fox,california_ground_squirrel,common_raven,song_sparrow,wild_turkey,skiltons_skink,bobcat,mule_deer,white_crowned_sparrow,spotted_towhee,earwig,heermans_kangaroo_rat,california_alligator_lizard,gopher_snake,carpet_beetle,rove_beetle,california_quail,american_shad,sharpnose_anchovy,acorn_woodpecker,downy_woodpecker,clam,striped_skunk,american_badger,harvestor_ant,western_scrub_jay,harbor_seal,puma,guadelupe_fur_seal,red_fox,stonefly,western_rattlesnake,house_mouse,black_rat,host,marine_present,terrestrial_present,diet_category,site,lon,lat
D.06.26.23.C1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4561075,34.51859065
D.06.26.23.C2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,FALSE,marine,Dangermond,-120.4716455,34.45939745
D.06.26.23.C3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4717817,34.45965195
D.06.26.23.C4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,FALSE,marine,Dangermond,-120.4720342,34.45978095
D.06.26.23.C5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,TRUE,mixed,Dangermond,-120.4720537,34.45981754
D.06.26.23.C6,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,TRUE,mixed,Dangermond,-120.4732591,34.46327309
D.06.26.23.C7,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,TRUE,mixed,Dangermond,-120.473433,34.46545982
D.06.26.23.C8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4735271,34.46557886
D.06.26.23.C10,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4733269,34.46779068
D.06.26.23.C11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4733293,34.46779098
D.06.26.23.C12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,TRUE,mixed,Dangermond,-120.4732961,34.46780223
D.06.26.23.C13,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,TRUE,mixed,Dangermond,-120.472985,34.46001891
C.08.14.23.C1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.879453,34.41458561
C.08.19.23.C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,NA,NA
C.08.19.23.C3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,NA,NA
C.06.16.23.F1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.8777,34.41363
C.06.29.23.C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.8804213,34.41519772
C.06.29.23.C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,FALSE,none,Coal Oil Point,-119.881257,34.41315516
