ScatID,curated_species,common_name,order,family,genus,species,new_host,site,type
D.06.26.23.C1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.26.23.C1,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.26.23.C1,Anura,frog,Anura,NA,NA,NA,Coyote,Dangermond,host and prey
D.06.26.23.C1,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.06.26.23.C2,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.06.26.23.C2,Urile pelagicus,pelagic cormorant,Suliformes,Phalacrocoracidae,Urile,pelagicus,Coyote,Dangermond,host and prey
D.06.26.23.C3,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.26.23.C3,Microtus californicus,california vole,Rodentia,Cricetidae,Microtus,californicus,Coyote,Dangermond,host and prey
D.06.26.23.C3,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.26.23.C3,Sylvilagus bachmani,brush rabbit,Lagomorpha,Leporidae,Sylvilagus,bachmani,Coyote,Dangermond,host and prey
D.06.26.23.C3,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.06.26.23.C4,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.26.23.C4,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.06.26.23.C5,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.26.23.C5,Turdus migratorius,american robin,Passeriformes,Turdidae,Turdus,migratorius,Coyote,Dangermond,host and prey
D.06.26.23.C5,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.06.26.23.C6,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.26.23.C6,Microtus californicus,california vole,Rodentia,Cricetidae,Microtus,californicus,Coyote,Dangermond,host and prey
D.06.26.23.C6,Neotoma sp,woodrat,Rodentia,Cricetidae,Neotoma,NA,Coyote,Dangermond,host and prey
D.06.26.23.C6,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.26.23.C6,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.06.26.23.C6,Urile pelagicus,pelagic cormorant,Suliformes,Phalacrocoracidae,Urile,pelagicus,Coyote,Dangermond,host and prey
D.06.26.23.C7,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.26.23.C7,Bos taurus,domestic cattle,Artiodactyla,Bovidae,Bos,taurus,Coyote,Dangermond,host and prey
D.06.26.23.C7,Microtus californicus,california vole,Rodentia,Cricetidae,Microtus,californicus,Coyote,Dangermond,host and prey
D.06.26.23.C7,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.26.23.C7,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Coyote,Dangermond,host and prey
D.06.26.23.C7,Zalophus californianus,california sea lion,Carnivora,Otariidae,Zalophus,californianus,Coyote,Dangermond,host and prey
D.06.26.23.C7,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.06.26.23.C8,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.26.23.C8,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.26.23.C10,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.26.23.C10,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.26.23.C10,Sylvilagus bachmani,brush rabbit,Lagomorpha,Leporidae,Sylvilagus,bachmani,Coyote,Dangermond,host and prey
D.06.26.23.C10,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.06.26.23.C10,Reithrodontomys megalotis,western harvest mouse,Rodentia,Cricetidae,Reithrodontomys,megalotis,Coyote,Dangermond,host and prey
D.06.26.23.C11,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.26.23.C11,Sylvilagus bachmani,brush rabbit,Lagomorpha,Leporidae,Sylvilagus,bachmani,Coyote,Dangermond,host and prey
D.06.26.23.C11,Stenopelmatus sp,cricket,Orthoptera,Stenopelmatidae,Stenopelmatus,NA,Coyote,Dangermond,host and prey
D.06.26.23.C11,Onthophagus sp,dung beetle,Coleoptera,Scarabaeidae,Onthophagus,NA,Coyote,Dangermond,host and prey
D.06.26.23.C12,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.26.23.C12,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.06.26.23.C12,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Coyote,Dangermond,host and prey
D.06.26.23.C13,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.26.23.C13,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.26.23.C13,Zalophus californianus,california sea lion,Carnivora,Otariidae,Zalophus,californianus,Coyote,Dangermond,host and prey
D.06.26.23.C13,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
C.08.14.23.C1,Bos taurus,domestic cattle,Artiodactyla,Bovidae,Bos,taurus,Coyote,Coal Oil Point,host and prey
C.08.14.23.C1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Coal Oil Point,host and prey
C.08.14.23.C1,Gallus gallus,chicken,Galliformes,Phasianidae,Gallus,gallus,Coyote,Coal Oil Point,host and prey
C.08.19.23.C2,Spermophillus beecheyi,california ground squirrel,Rodentia,Sciuridae,Spermophillus,beecheyi,Coyote,Coal Oil Point,host and prey
C.08.19.23.C2,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Coal Oil Point,host and prey
C.08.19.23.C2,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Coal Oil Point,host and prey
C.08.19.23.C3,Spermophillus beecheyi,california ground squirrel,Rodentia,Sciuridae,Spermophillus,beecheyi,Coyote,Coal Oil Point,host and prey
C.08.19.23.C3,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Coal Oil Point,host and prey
C.08.19.23.C3,Microtus californicus,california vole,Rodentia,Cricetidae,Microtus,californicus,Coyote,Coal Oil Point,host and prey
C.06.16.23.F1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Coal Oil Point,host and prey
C.06.16.23.F1,Gallus gallus,chicken,Galliformes,Phasianidae,Gallus,gallus,Coyote,Coal Oil Point,host and prey
C.06.16.23.F1,Sus scrofa,wild boar,Artiodactyla,Suidae,Sus,scrofa,Coyote,Coal Oil Point,host and prey
C.06.29.23.C1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Coal Oil Point,host and prey
C.06.29.23.C1,Gallus gallus,chicken,Galliformes,Phasianidae,Gallus,gallus,Coyote,Coal Oil Point,host and prey
